ID,Inicio,Fin,Duración_s,Caudal_medio_Lmin,Caudal_pico_Lmin,Volumen_frio_L,Volumen_caliente_L,Volumen_total_L,Proporcion_caliente_%
1,2025-07-21 18:57:00,2025-07-21 18:57:00,0.0,0.855,0.873,0.0,0.0,0.0,0.0
2,2025-07-21 18:59:00,2025-07-21 18:59:00,0.0,1375.0,1375.0,0.0,0.0,0.0,0.0
3,2025-07-21 19:03:00,2025-07-21 19:05:00,120.0,1867.25,3419.0,1261.0,2473.5,3734.5,66.23
4,2025-07-23 17:43:00,2025-07-23 19:50:00,7620.0,874.307,1389.0,82803.746,28233.264,111037.01,25.43
5,2025-07-28 11:29:00,2025-07-28 12:32:00,3780.0,612.938,2180.0,9464.58,29150.496,38615.076,75.49
6,2025-07-28 12:37:00,2025-07-28 19:54:00,26220.0,1.122,1.413,148.798,341.734,490.532,69.67
7,2025-07-28 19:54:00,2025-07-28 19:54:00,0.0,1103.959,1103.959,0.0,0.0,0.0,0.0
8,2025-07-28 19:55:00,2025-07-30 18:01:00,165960.0,1205.91,1336.053,712271.554,2623274.4,3335545.954,78.65
9,2025-07-30 18:01:00,2025-07-30 18:01:00,0.0,5900.0,5900.0,0.0,0.0,0.0,0.0
10,2025-07-30 18:05:00,2025-07-30 18:05:00,0.0,0.463,0.475,0.0,0.0,0.0,0.0
11,2025-07-30 18:05:00,2025-07-30 18:05:00,0.0,0.667,0.667,0.0,0.0,0.0,0.0
12,2025-07-30 18:06:00,2025-07-30 18:06:00,0.0,0.46,0.46,0.0,0.0,0.0,0.0
13,2025-07-30 18:07:00,2025-07-30 18:07:00,0.0,0.342,0.342,0.0,0.0,0.0,0.0
14,2025-07-30 18:10:00,2025-07-30 18:16:00,360.0,5408.802,8298.0,7557.0,24895.815,32452.815,76.71
15,2025-07-30 18:17:00,2025-07-30 18:17:00,0.0,0.354,0.354,0.0,0.0,0.0,0.0
16,2025-07-30 18:18:00,2025-07-30 18:18:00,0.0,0.366,0.366,0.0,0.0,0.0,0.0
17,2025-07-30 18:18:00,2025-07-30 18:18:00,0.0,0.463,0.463,0.0,0.0,0.0,0.0
18,2025-07-30 18:29:00,2025-07-30 18:29:00,0.0,1228.501,1280.0,0.0,0.0,0.0,0.0
19,2025-07-30 18:30:00,2025-07-30 18:35:00,300.0,544.195,1389.0,2720.321,0.655,2720.976,0.02
20,2025-07-30 18:36:00,2025-07-30 18:36:00,0.0,831.159,1661.0,0.0,0.0,0.0,0.0
21,2025-07-30 18:38:00,2025-07-30 19:29:00,3060.0,1142.102,1174.581,30.676,58216.5,58247.176,99.95
22,2025-07-31 19:37:00,2025-07-31 19:38:00,60.0,3456.789,7543.0,0.08,3456.71,3456.789,100.0
23,2025-07-31 19:39:00,2025-07-31 19:39:00,0.0,1257.0,1257.0,0.0,0.0,0.0,0.0
24,2025-07-31 19:41:00,2025-07-31 19:41:00,0.0,1276.295,1301.0,0.0,0.0,0.0,0.0
25,2025-08-01 11:57:00,2025-08-04 20:02:00,288300.0,1255.875,1451.0,6034479.375,0.0,6034479.375,0.0
